GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.eclipse.papyrus.sysml14.diagram.blockdefinition,org.eclipse.papyrus.sysml14.diagram.blockdefinition,Activator,7,0,0,0,2,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.blockdefinition,org.eclipse.papyrus.sysml14.diagram.blockdefinition.provider,ParserProvider,67,0,12,0,19,0,10,0,4,0
org.eclipse.papyrus.sysml14.diagram.blockdefinition,org.eclipse.papyrus.sysml14.diagram.blockdefinition.internal.factory,FlowSpecificationClassifierViewFactory,89,0,0,0,20,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.blockdefinition,org.eclipse.papyrus.sysml14.diagram.blockdefinition.internal.factory,OperationPortViewFactory,69,0,0,0,19,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.blockdefinition,org.eclipse.papyrus.sysml14.diagram.blockdefinition.internal.factory,PortViewFactory,50,0,0,0,14,0,2,0,2,0
org.eclipse.papyrus.sysml14.diagram.blockdefinition,org.eclipse.papyrus.sysml14.diagram.blockdefinition.internal.factory,BlockClassifierViewFactory,95,0,0,0,20,0,2,0,2,0
