GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.eclipse.papyrus.sysml14.nattable.requirement,org.eclipse.papyrus.sysml14.nattable.requirement.tester,RequirementTableTester,68,0,10,0,13,0,7,0,2,0
org.eclipse.papyrus.sysml14.nattable.requirement,org.eclipse.papyrus.sysml14.nattable.requirement,Activator,3,0,0,0,1,0,1,0,1,0
