GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.eclipse.papyrus.sysml14.nattable.common,org.eclipse.papyrus.sysml14.nattable.common.provider,SysMLFlowPortDirectionLabelProvider,88,0,14,0,25,0,11,0,4,0
org.eclipse.papyrus.sysml14.nattable.common,org.eclipse.papyrus.sysml14.nattable.common.utils,Constants,3,0,0,0,2,0,1,0,1,0
org.eclipse.papyrus.sysml14.nattable.common,org.eclipse.papyrus.sysml14.nattable.common.manager.axis,RequirementAxisManager,25,0,0,0,7,0,7,0,7,0
org.eclipse.papyrus.sysml14.nattable.common,org.eclipse.papyrus.sysml14.nattable.common.manager.axis,AllocateAxisManager,25,0,0,0,7,0,7,0,7,0
org.eclipse.papyrus.sysml14.nattable.common,org.eclipse.papyrus.sysml14.nattable.common.manager.axis,RequirementTreeAxisManager,22,0,4,0,6,0,4,0,2,0
org.eclipse.papyrus.sysml14.nattable.common,org.eclipse.papyrus.sysml14.nattable.common.manager.cell,SysMLStereotypePropertyCellManager,79,0,12,0,19,0,10,0,4,0
org.eclipse.papyrus.sysml14.nattable.common,org.eclipse.papyrus.sysml14.nattable.common,Activator,7,0,0,0,2,0,2,0,2,0
